"id","down_time_train","interval_giving","idle_train","travel_time","crew_down_time","crew_down_time_plan","intermediate_down_time","route_id","sender_id","receiver_id","real_wagon_loading","real_train_weight_gross","real_train_wight_net","cargo_type_id","empty_types_id","down_time","axis_count"
12086,"2.0","0.0","3.283333","3.133333",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"3.283333",280
12087,"0.583333","0.0","1.933333","39.133333","12.066648",NULL,"1.85",7501,82,485,71,"1688.0","0.0",1141,0,"1.933333",284
12088,"2.016667","0.0","8.366667","3.533333",NULL,NULL,"0.466667",7503,132,131,67,"1594.0","0.0",1141,0,"8.366667",268
12089,"0.566667","0.0","5.7","29.316667","4.299984","1.166664","1.716667",8590,1506,109,48,"1141.5","0.0",1141,0,"5.7",192
12090,"0.483333","0.0","1.666667","3.183333",NULL,NULL,NULL,7496,131,132,67,"6270.2","4679.5",5229,1,"1.666667",268
12091,"1.033333","0.0","2.083333","3.383333",NULL,NULL,NULL,7492,131,505,70,"6555.9","4895.0",5229,1,"2.083333",280
12092,"2.633333","0.0","1.916667","2.45",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"1.916667",280
12093,"0.466667","0.0","0.266667","37.433333","7.233336",NULL,"3.4",7500,485,82,53,"4967.1","3706.0",102,1,"0.266667",212
12094,"2.0","0.0","2.466667","3.45",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"2.466667",280
12096,"0.5","0.0","1.333333","4.3",NULL,NULL,"1.0",7492,131,505,70,"6553.8","4892.5",5229,1,"1.333333",280
12097,"0.533333","0.0","1.933333","32.95","4.016664","2.599992","4.683333",7474,1465,82,53,"4964.2","3707.5",102,1,"1.933333",212
12098,"2.0","0.0","5.083333","4.916667",NULL,NULL,NULL,7503,132,131,67,"1586.0","0.0",1141,0,"5.083333",268
12099,"4.516667","0.0","2.1","3.3",NULL,NULL,NULL,7502,505,131,70,"1667.0","0.0",1141,0,"2.1",280
12100,"0.583333","0.0","4.75","30.166667","5.366664",NULL,"2.15",7505,82,1465,71,"1686.0","0.0",1141,0,"4.75",284
12101,"0.833333","0.0","5.05","26.533333","7.049976",NULL,"0.666667",8580,109,1506,48,"4492.0","3355.0",122,1,"5.05",192
12102,"0.5","0.0","1.583333","3.5",NULL,NULL,"0.55",7492,131,505,70,"6557.7","4896.0",5229,1,"1.583333",280
12103,"1.066667","0.0","2.583333","3.183333",NULL,NULL,NULL,7492,131,505,70,"6556.6","4893.5",5229,1,"2.583333",280
12104,"2.183333","0.0","3.0","3.733333",NULL,NULL,"0.683333",7503,132,131,67,"1592.0","0.0",1141,0,"3.0",268
12105,"4.55","0.0","1.383333","2.9",NULL,NULL,"0.116667",7502,505,131,70,"1661.0","0.0",1141,0,"1.383333",280
12106,"0.5","0.0","4.666667","4.0",NULL,NULL,NULL,7497,241,82,67,"6270.7","4682.0",5611,1,"4.666667",268
12107,"1.983333","1.0","0.8","32.716667","6.183312",NULL,NULL,7500,485,82,53,"4966.6","3706.0",102,1,"0.8",212
12108,"0.833333","0.0","2.0","3.166667",NULL,NULL,NULL,7492,131,505,70,"6557.9","4896.0",5229,1,"2.0",280
12109,"2.0","0.0","3.633333","2.866667",NULL,NULL,NULL,7502,505,131,69,"1638.0","0.0",1141,0,"3.633333",276
12110,"0.5","0.0","1.833333","3.916667",NULL,NULL,NULL,7496,131,132,67,"6274.0","4683.5",5229,1,"1.833333",268
12111,"0.5","0.0","1.75","3.0",NULL,NULL,NULL,7492,131,107,70,"6553.7","4890.0",5229,1,"1.75",280
12112,"2.0","0.0","2.5","3.5",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"2.5",280
12113,"0.5","0.0","1.083333","2.833333",NULL,NULL,NULL,7492,131,505,70,"6553.9","4893.5",5229,1,"1.083333",280
12114,"0.666667","0.0","7.833333","3.833333",NULL,NULL,NULL,7504,82,241,70,"1666.0","0.0",1141,0,"7.833333",280
12115,"3.25","0.0","2.4","3.833333",NULL,NULL,NULL,7502,505,131,71,"1685.0","0.0",1141,0,"2.4",284
12116,"2.833333","0.0","3.75","3.416667",NULL,NULL,NULL,7503,132,131,67,"1591.0","0.0",1141,0,"3.75",268
12117,"0.533333","0.0","29.966667","35.216667","8.100024",NULL,NULL,7500,485,82,53,"4967.21","3707.0",102,1,"29.966667",212
12118,"0.516667","0.0","1.166667","3.316667",NULL,NULL,"0.2",7496,131,132,67,"6268.8","4683.5",5229,1,"1.166667",268
12119,"3.75","0.0","1.55","3.366667",NULL,NULL,NULL,7502,505,131,70,"1664.0","0.0",1141,0,"1.55",280
12120,"2.833333","0.0","1.083333","3.083333",NULL,NULL,NULL,7492,131,505,70,"6554.9","4892.0",5229,1,"1.083333",280
12121,"0.583333","0.0","2.266667","37.666667","6.049968",NULL,"0.05",7501,82,485,71,"1680.0","0.0",1141,0,"2.266667",284
12122,"0.5","0.0","1.083333","2.75",NULL,NULL,NULL,7492,131,505,70,"6558.5","4892.0",5229,1,"1.083333",280
12123,"5.4","0.0","2.3","2.8",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"2.3",280
12124,"0.666667","0.0","4.333333","37.333333","14.883336",NULL,"1.15",8580,109,1506,48,"4493.7","3354.5",109,1,"4.333333",192
12125,"3.35","1.0","2.45","3.283333",NULL,NULL,NULL,7496,131,132,67,"6267.7","4685.5",5229,1,"2.45",268
12126,"0.416667","0.0","5.666667","33.916667","7.06668",NULL,"1.75",7500,485,82,53,"4965.2","3705.5",102,1,"5.666667",212
12127,"0.516667","0.0","3.266667","27.466667","4.533336",NULL,NULL,7505,82,1465,70,"1665.0","0.0",1141,0,"3.266667",280
12128,"0.5","0.0","1.666667","2.75",NULL,NULL,NULL,7492,131,505,70,"6554.0","4892.5",5229,1,"1.666667",280
